,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
108,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0.2,0.02,0.04,0.05,0.02,0.05,Matches,60344e4f
109,Ben Davies,wls WAL,DF,Tottenham,28,1993,29,28,2538,28.2,1,1,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,1.8,1.8,0.6,2.3,0.06,0.02,0.08,0.06,0.08,Matches,44781702
110,Tom Davies,eng ENG,MF,Everton,23,1998,6,2,234,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.9,0.9,0,0.9,0.35,0,0.35,0.35,0.35,Matches,9228b07c
111,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9deaf2c8
112,Craig Dawson,eng ENG,DF,West Ham,31,1990,34,30,2754,30.6,2,2,2,0,0,5,1,0.07,0.07,0.13,0.07,0.13,2.9,2.9,0.5,3.3,0.09,0.01,0.11,0.09,0.11,Matches,3e9e06cb
113,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,30,25,2201,24.5,15,8,15,0,0,2,0,0.61,0.33,0.94,0.61,0.94,6.4,6.4,9.5,15.9,0.26,0.39,0.65,0.26,0.65,Matches,e46012d4
114,Troy Deeney,eng ENG,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,Matches,82e34b69
115,Liam Delap,eng ENG,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dd897ee7
116,Fabian Delph,eng ENG,MF,Everton,31,1989,11,8,662,7.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,111c3236
117,Leander Dendoncker,be BEL,MF,Wolves,26,1995,30,21,1950,21.7,2,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,2.6,2.6,1,3.6,0.12,0.05,0.16,0.12,0.16,Matches,5a7301ae
118,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,33,30,2581,28.7,10,6,10,0,0,9,1,0.35,0.21,0.56,0.35,0.56,7.5,7.5,3.2,10.7,0.26,0.11,0.37,0.26,0.37,Matches,2c44a35d
119,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,22,1998,28,23,2105,23.4,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,1.3,1.3,3,4.3,0.06,0.13,0.18,0.06,0.18,Matches,5c74c0f5
120,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,23,10,1023,11.4,0,2,0,0,0,1,0,0,0.18,0.18,0,0.18,0.5,0.5,1,1.4,0.04,0.09,0.13,0.04,0.13,Matches,11ff3d56
121,Raphael Dias Belloli,br BRA,FWMF,Leeds United,24,1996,35,34,2915,32.4,11,3,7,4,4,7,0,0.34,0.09,0.43,0.22,0.31,11.2,8.2,6.8,15,0.35,0.21,0.56,0.25,0.46,Matches,3423f250
122,Rúben Dias,pt POR,DF,Manchester City,24,1997,29,27,2402,26.7,2,4,2,0,0,5,0,0.07,0.15,0.22,0.07,0.22,2.2,2.2,2.4,4.6,0.08,0.09,0.17,0.08,0.17,Matches,31c69ef1
123,Luis Díaz,co COL,FW,Liverpool,24,1997,13,11,958,10.6,4,3,4,0,0,0,0,0.38,0.28,0.66,0.38,0.66,4.5,4.5,1.8,6.3,0.42,0.17,0.59,0.42,0.59,Matches,4a1a9578
124,Eric Dier,eng ENG,DF,Tottenham,27,1994,35,35,3071,34.1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.4,2.4,0.03,0.04,0.07,0.03,0.07,Matches,ac861941
125,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,16,16,1269,14.1,0,4,0,0,0,2,0,0,0.28,0.28,0,0.28,0.6,0.6,2,2.6,0.04,0.14,0.18,0.04,0.18,Matches,1b84dbe1
126,Lucas Digne,fr FRA,DF,Everton,28,1993,13,13,1170,13,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16,Matches,1b84dbe1
127,Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34,34,3060,34,3,1,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,2.4,2.4,0.4,2.8,0.07,0.01,0.08,0.07,0.08,Matches,e06683ca
128,Issa Diop,fr FRA,DF,West Ham,24,1997,13,10,963,10.7,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02,Matches,a712ca2b
129,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,12,5,457,5.1,0,0,0,0,0,3,0,0,0,0,0,0,1.5,1.5,0.2,1.7,0.3,0.05,0.34,0.3,0.34,Matches,254147d4
130,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,3,0,32,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e814e1cf
131,Matt Doherty,ie IRL,DF,Tottenham,29,1992,15,9,875,9.7,2,4,2,0,0,0,0,0.21,0.41,0.62,0.21,0.62,2.5,2.5,1.8,4.3,0.26,0.18,0.44,0.26,0.44,Matches,d557d734
132,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,35,35,3063,34,5,0,5,0,0,8,1,0.15,0,0.15,0.15,0.15,2.7,2.7,0.8,3.5,0.08,0.02,0.1,0.08,0.1,Matches,67ac5bb8
133,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,30,29,2537,28.2,2,4,2,0,0,6,0,0.07,0.14,0.21,0.07,0.21,2.7,2.7,2.2,4.9,0.1,0.08,0.17,0.1,0.17,Matches,02b29014
134,Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,19,11,912,10.1,1,1,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,1.2,1.2,2,3.2,0.12,0.2,0.31,0.12,0.31,Matches,2f6ec02a
135,Cody Drameh,eng ENG,DF,Leeds United,19,2001,3,1,128,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,e0d1510a
136,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,3a949a25
137,Shane Duffy,ie IRL,DF,Brighton,29,1992,18,15,1436,16,1,0,1,0,0,7,0,0.06,0,0.06,0.06,0.06,1.3,1.3,0.1,1.5,0.08,0.01,0.09,0.08,0.09,Matches,7314bba4
138,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,3,2,198,2.2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3fe6bd8c
139,Lewis Dunk,eng ENG,DF,Brighton,29,1991,29,29,2573,28.6,1,0,1,0,0,3,1,0.03,0,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches,282f75f3
140,Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches,3bb7b8b4
141,Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,28,18,1564,17.4,6,3,5,1,1,4,0,0.35,0.17,0.52,0.29,0.46,6.9,6.1,2.3,8.4,0.4,0.13,0.53,0.35,0.49,Matches,0562b7f1
142,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d313e8ff
143,Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,21,14,1214,13.5,2,2,2,0,0,0,0,0.15,0.15,0.3,0.15,0.3,3,3,1.8,4.8,0.22,0.14,0.35,0.22,0.35,Matches,2fba6108
144,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,6,4,346,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.5,1.4,0.23,0.12,0.35,0.23,0.35,Matches,c8387671
145,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,14,8,806,9,0,2,0,0,0,1,0,0,0.22,0.22,0,0.22,0.2,0.2,0.6,0.7,0.02,0.06,0.08,0.02,0.08,Matches,47a34c4f
146,Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,30,23,2042,22.7,4,2,4,0,0,4,0,0.18,0.09,0.26,0.18,0.26,6,6,2.5,8.5,0.26,0.11,0.37,0.26,0.37,Matches,68dc0dac
147,Emerson,br BRA,DF,Tottenham,22,1999,31,26,2286,25.4,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,2.1,3.6,0.06,0.08,0.14,0.06,0.14,Matches,df8b52a5
148,Christian Eriksen,dk DEN,MF,Brentford,29,1992,11,10,939,10.4,1,4,1,0,0,1,0,0.1,0.38,0.48,0.1,0.48,1.4,1.4,3.6,5,0.14,0.34,0.48,0.14,0.48,Matches,980522ec
149,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,9,4,401,4.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,b579e83d
150,Jonny Evans,nir NIR,DF,Leicester City,33,1988,18,16,1348,15,1,1,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,0.7,0.7,0.6,1.3,0.05,0.04,0.09,0.05,0.09,Matches,f8fcd2a5
151,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,13,6,605,6.7,1,1,1,0,0,1,0,0.15,0.15,0.3,0.15,0.3,0.5,0.5,0.9,1.4,0.08,0.13,0.21,0.08,0.21,Matches,ae4fc6a4
152,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,37,3330,37,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9328b835
153,Fabinho,br BRA,MF,Liverpool,27,1993,29,26,2314,25.7,5,1,3,2,2,7,0,0.19,0.04,0.23,0.12,0.16,3.4,1.9,1.4,3.3,0.13,0.05,0.19,0.07,0.13,Matches,7f3b388c
154,Kiko Femenía,es ESP,DF,Watford,30,1991,27,26,2142,23.8,0,5,0,0,0,2,0,0,0.21,0.21,0,0.21,0.1,0.1,3.2,3.3,0,0.14,0.14,0,0.14,Matches,e5d01ecf
155,Evan Ferguson,ie IRL,MF,Brighton,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4596da74
156,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2f8d27bc
157,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,10,0,2,10,0,0.29,0.17,0.46,0.29,0.46,9.7,8.2,8.4,16.6,0.28,0.24,0.53,0.24,0.48,Matches,507c7bdf
158,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f127d782
159,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,7,5,523,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.8,0.07,0.06,0.13,0.07,0.13,Matches,f25b010f
160,Fernandinho,br BRA,MFDF,Manchester City,36,1985,19,10,964,10.7,2,1,2,0,0,1,0,0.19,0.09,0.28,0.19,0.28,1.6,1.6,0.9,2.5,0.15,0.08,0.24,0.15,0.24,Matches,101da2b5
161,Roberto Firmino,br BRA,FW,Liverpool,29,1991,20,10,990,11,5,4,5,0,0,3,0,0.45,0.36,0.82,0.45,0.82,5,5,2.4,7.4,0.46,0.22,0.67,0.46,0.67,Matches,4c370d81
162,Junior Firpo,es ESP,DF,Leeds United,24,1996,24,19,1711,19,0,2,0,0,0,11,0,0,0.11,0.11,0,0.11,0.9,0.9,2.6,3.5,0.05,0.13,0.18,0.05,0.18,Matches,24f59bb2
163,Ashley Fletcher,eng ENG,FW,Watford,25,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1.16,0,1.16,1.16,1.16,Matches,eeb6551f
164,Phil Foden,eng ENG,FW,Manchester City,21,2000,28,24,2128,23.6,9,5,9,0,0,1,0,0.38,0.21,0.59,0.38,0.59,9.1,9.1,6.6,15.7,0.38,0.28,0.66,0.38,0.66,Matches,ed1e53f3
165,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,7,630,7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.3,0.03,0,0.04,0.03,0.04,Matches,132a82f1
166,Pablo Fornals,es ESP,FWMF,West Ham,25,1996,36,32,2795,31.1,6,3,6,0,0,4,0,0.19,0.1,0.29,0.19,0.29,5,5,5.6,10.6,0.16,0.18,0.34,0.16,0.34,Matches,82927de4
167,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,22,17,1530,17,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,0.4,0.4,1.1,1.5,0.02,0.07,0.09,0.02,0.09,Matches,9f1938ab
168,Marcus Forss,fi FIN,FWMF,Brentford,22,1999,7,1,209,2.3,0,1,0,0,0,0,0,0,0.43,0.43,0,0.43,0.2,0.2,0,0.2,0.1,0,0.1,0.1,0.1,Matches,82c215a0
169,Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,1710,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c3e39f12
170,Ben Foster,eng ENG,GK,Watford,38,1983,26,26,2340,26,0,1,0,0,0,0,0,0,0.04,0.04,0,0.04,0,0,0.2,0.2,0,0.01,0.01,0,0.01,Matches,d0b3ceb9
171,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches,3dcef539
172,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,27,18,1465,16.3,2,3,2,0,0,3,0,0.12,0.18,0.31,0.12,0.31,2.8,2.8,2.2,5.1,0.17,0.14,0.31,0.17,0.31,Matches,d56543a0
173,Fred,br BRA,MF,Manchester Utd,28,1993,28,24,2028,22.5,4,4,4,0,0,5,0,0.18,0.18,0.36,0.18,0.36,1.5,1.5,2,3.4,0.07,0.09,0.15,0.07,0.15,Matches,b853e0ad
174,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,7,3,307,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03,Matches,c067631c
175,Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,2,0,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,d102b8a2
176,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,34,33,2845,31.6,8,3,8,0,0,10,0,0.25,0.09,0.35,0.25,0.35,5.8,5.8,3.5,9.3,0.18,0.11,0.29,0.18,0.29,Matches,c2731c10
177,Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7aa8adfe
178,Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,8,0,38,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.71,1.19,1.89,0.71,1.89,Matches,e58a03c6
179,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,3,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6bd603db
180,David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7ba6d84e
181,Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,20,5,746,8.3,2,2,2,0,0,4,0,0.24,0.24,0.48,0.24,0.48,3.1,3.1,1.5,4.7,0.38,0.19,0.56,0.38,0.56,Matches,01962d0d
182,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,9,4,386,4.3,1,1,0,1,1,2,0,0.23,0.23,0.47,0,0.23,1.1,0.3,0.4,0.7,0.25,0.09,0.33,0.07,0.16,Matches,ffa90327
183,Anwar El Ghazi,nl NED,FW,Everton,26,1995,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ffa90327
184,Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,17,4,536,6,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,0.6,0.6,1.2,1.9,0.11,0.21,0.32,0.11,0.32,Matches,f7b1d4e0
185,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,18,14,1169,13,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.2,0.2,0.5,0.6,0.01,0.04,0.05,0.01,0.05,Matches,112c495e
186,Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,2,0,9,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,1.22,0,1.22,1.22,1.22,Matches,32f60ed8
187,Ben Gibson,eng ENG,DF,Norwich City,28,1993,28,28,2494,27.7,0,0,0,0,0,5,1,0,0,0,0,0,1.2,1.2,0,1.2,0.04,0,0.04,0.04,0.04,Matches,bcfb0142
188,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,24,21,1855,20.6,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1,1,2,3,0.05,0.1,0.14,0.05,0.14,Matches,df10e27c
189,Ben Godfrey,eng ENG,DF,Everton,23,1998,23,23,2029,22.5,0,0,0,0,0,6,0,0,0,0,0,0,1.1,1.1,0.7,1.9,0.05,0.03,0.08,0.05,0.08,Matches,9f7c837d
190,André Gomes,pt POR,MF,Everton,28,1993,14,7,619,6.9,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,0.7,0.7,0.2,0.9,0.1,0.03,0.13,0.1,0.13,Matches,1961b2aa
191,Toti Gomes,pt POR,DF,Wolves,22,1999,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,f0caab96
192,Joe Gomez,eng ENG,DF,Liverpool,24,1997,8,4,331,3.7,0,1,0,0,0,2,0,0,0.27,0.27,0,0.27,0,0,0.5,0.5,0,0.13,0.13,0,0.13,Matches,7a11550b
193,Charlie Goode,eng ENG,DF,Brentford,25,1995,6,4,450,5,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.03,0.07,0.1,0.03,0.1,Matches,7aee4dd3
194,Anthony Gordon,eng ENG,MFFW,Everton,20,2001,35,25,2285,25.4,4,2,4,0,0,4,0,0.16,0.08,0.24,0.16,0.24,3.4,3.4,3.3,6.7,0.13,0.13,0.26,0.13,0.26,Matches,2bd83368
195,Kaide Gordon,eng ENG,FW,Liverpool,16,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,4.48,0,4.48,4.48,4.48,Matches,19a9cb70
196,Dan Gosling,eng ENG,MF,Watford,31,1990,4,2,166,1.8,1,0,1,0,0,0,0,0.54,0,0.54,0.54,0.54,0.2,0.2,0,0.2,0.1,0.01,0.11,0.1,0.11,Matches,7fec31a0
197,Demarai Gray,eng ENG,MFFW,Everton,25,1996,34,28,2338,26,5,4,5,0,0,3,0,0.19,0.15,0.35,0.19,0.35,4.5,4.5,4.3,8.8,0.17,0.16,0.34,0.17,0.34,Matches,4468ec10
198,Jack Grealish,eng ENG,FW,Manchester City,25,1995,26,22,1914,21.3,3,3,3,0,0,3,0,0.14,0.14,0.28,0.14,0.28,4.8,4.8,6.3,11.1,0.22,0.3,0.52,0.22,0.52,Matches,b0b4fd3e
199,Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,18,16,1271,14.1,5,1,5,0,0,1,0,0.35,0.07,0.42,0.35,0.42,4.4,4.4,1.6,6,0.31,0.11,0.42,0.31,0.42,Matches,58eee997
200,Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,7,1,237,2.6,0,2,0,0,0,0,0,0,0.76,0.76,0,0.76,0.4,0.4,0.7,1.1,0.14,0.28,0.42,0.14,0.42,Matches,f3354c07
201,Pascal Groß,de GER,MFDF,Brighton,30,1991,29,24,2038,22.6,2,4,2,0,1,1,0,0.09,0.18,0.26,0.09,0.26,2.9,2.2,5.3,7.5,0.13,0.24,0.36,0.1,0.33,Matches,8aec0537
202,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ab13a5aa
203,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,36,36,3222,35.8,2,1,2,0,0,4,0,0.06,0.03,0.08,0.06,0.08,1.9,1.9,0.5,2.4,0.05,0.01,0.07,0.05,0.07,Matches,d0706b27
204,Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,17,11,1034,11.5,5,1,5,0,0,4,0,0.44,0.09,0.52,0.44,0.52,2.9,2.9,1.8,4.7,0.25,0.16,0.41,0.25,0.41,Matches,82518f62
205,İlkay Gündoğan,de GER,MF,Manchester City,30,1990,27,20,1857,20.6,8,4,8,0,0,1,0,0.39,0.19,0.58,0.39,0.58,8.6,8.6,4.2,12.8,0.42,0.2,0.62,0.42,0.62,Matches,819b3158
206,Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e082af5b
207,Grant Hanley,sct SCO,DF,Norwich City,29,1991,33,33,2897,32.2,1,0,1,0,0,2,0,0.03,0,0.03,0.03,0.03,1.9,1.9,0.3,2.1,0.06,0.01,0.07,0.06,0.07,Matches,e9254eec
208,Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,35,32,2639,29.3,8,1,8,0,0,3,0,0.27,0.03,0.31,0.27,0.31,4,4,2.6,6.6,0.14,0.09,0.22,0.14,0.22,Matches,aa849a12
209,Kortney Hause,eng ENG,DF,Aston Villa,26,1995,7,4,397,4.4,1,0,1,0,0,0,0,0.23,0,0.23,0.23,0.23,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,bf8fad51
210,Kai Havertz,de GER,FWMF,Chelsea,22,1999,29,22,1809,20.1,8,3,8,0,0,3,0,0.4,0.15,0.55,0.4,0.55,9.7,9.7,2,11.6,0.48,0.1,0.58,0.48,0.58,Matches,fed7cb61
211,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,14,12,1002,11.1,1,0,1,0,0,5,0,0.09,0,0.09,0.09,0.09,0.4,0.4,0.1,0.5,0.04,0.01,0.05,0.04,0.05,Matches,c951a6df
212,Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,30,20,1816,20.2,5,1,5,0,0,2,0,0.25,0.05,0.3,0.25,0.3,4,4,1.7,5.7,0.2,0.08,0.28,0.2,0.28,Matches,169fd162
213,Jordan Henderson,eng ENG,MF,Liverpool,31,1990,35,29,2597,28.9,2,5,2,0,0,3,0,0.07,0.17,0.24,0.07,0.24,1.5,1.5,3.8,5.3,0.05,0.13,0.18,0.05,0.18,Matches,935e6b8f
214,Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,3,0,72,0.8,1,0,1,0,0,0,0,1.25,0,1.25,1.25,1.25,0,0,0,0.1,0.04,0.06,0.1,0.04,0.1,Matches,989d5705
215,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.06,0.06,0,0.06,Matches,76eca7e2
216,Rico Henry,eng ENG,DF,Brentford,24,1997,34,33,2776,30.8,3,0,3,0,0,2,0,0.1,0,0.1,0.1,0.1,1.8,1.8,1.7,3.5,0.06,0.06,0.11,0.06,0.11,Matches,8a3c1dc7
217,Son Heung-min,kr KOR,FWMF,Tottenham,29,1992,35,35,3006,33.4,23,7,23,0,0,2,0,0.69,0.21,0.9,0.69,0.9,16.4,16.4,8.1,24.5,0.49,0.24,0.73,0.49,0.73,Matches,92e7e919
